fold,seed,run_id,run_name,run_state,topology,role,evaluation_step,distance_m,selection_mean_distance_m
node_5,1,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,finished,henneberg_n8_2tube_187,train,1860651,1.7796317537787754,2.0457060202686317
node_5,2,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,finished,henneberg_n8_2tube_187,train,1860651,2.3672779983418817,2.0457060202686317
node_5,3,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,finished,henneberg_n8_2tube_187,train,1860651,1.990208308685237,2.0457060202686317
node_5,1,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,finished,henneberg_n8_3tube_64,train,3341169,1.5835858485157364,1.8332297066133785
node_5,2,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,finished,henneberg_n8_3tube_64,train,3341169,1.3786645297193498,1.8332297066133785
node_5,3,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,finished,henneberg_n8_3tube_64,train,3341169,2.5374387416050492,1.8332297066133785
node_5,1,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,finished,octahedron,train,1980693,16.329605486578508,9.353897281446965
node_5,2,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,finished,octahedron,train,1980693,2.0177250842469503,9.353897281446965
node_5,3,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,finished,octahedron,train,1980693,9.714361273515436,9.353897281446965
node_5,1,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,finished,tetrahedron,train,3301155,0.714248293999047,1.2601389069966913
node_5,2,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,finished,tetrahedron,train,3301155,0.7691194560560319,1.2601389069966913
node_5,3,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,finished,tetrahedron,train,3301155,2.2970489709349953,1.2601389069966913
node_5,1,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,finished,usevitch_210272254_p1,train,3241134,2.2400310429575185,2.471491380862159
node_5,2,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,finished,usevitch_210272254_p1,train,3241134,2.725405464105128,2.471491380862159
node_5,3,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,finished,usevitch_210272254_p1,train,3241134,2.4490376355238306,2.471491380862159
node_5,1,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,finished,usevitch_60243677150_p1,train,3221127,1.375576842716785,1.694265299180877
node_5,2,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,finished,usevitch_60243677150_p1,train,3221127,2.3779690798562925,1.694265299180877
node_5,3,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,finished,usevitch_60243677150_p1,train,3221127,1.3292499749695534,1.694265299180877
node_6,1,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,finished,henneberg_n5_1tube_1,train,1861062,1.4261813548454143,1.6130634262256383
node_6,2,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,finished,henneberg_n5_1tube_1,train,1861062,1.59151055042267,1.6130634262256383
node_6,3,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,finished,henneberg_n5_1tube_1,train,1861062,1.8214983734088304,1.6130634262256383
node_6,1,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,finished,henneberg_n6_1tube_2,heldout,1280055,0.1041365570632516,0.5142511769540546
node_6,2,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,finished,henneberg_n6_1tube_2,heldout,1280055,1.0414568297544249,0.5142511769540546
node_6,3,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,finished,henneberg_n6_1tube_2,heldout,1280055,0.3971601440444873,0.5142511769540546
node_6,1,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,finished,henneberg_n6_2tube_1,heldout,1940778,0.3404648031915641,0.42336192820382607
node_6,2,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,finished,henneberg_n6_2tube_1,heldout,1940778,0.3380520544268127,0.42336192820382607
node_6,3,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,finished,henneberg_n6_2tube_1,heldout,1940778,0.5915689269931014,0.42336192820382607
node_6,1,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,finished,henneberg_n8_1tube_57,train,1900920,1.1627872879822694,1.2317998974638165
node_6,2,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,finished,henneberg_n8_1tube_57,train,1900920,1.3536025844997983,1.2317998974638165
node_6,3,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,finished,henneberg_n8_1tube_57,train,1900920,1.1790098199093817,1.2317998974638165
node_6,1,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,finished,henneberg_n8_2tube_187,train,1741488,1.6177305133196829,1.834609063599446
node_6,2,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,finished,henneberg_n8_2tube_187,train,1741488,1.4407162681482375,1.834609063599446
node_6,3,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,finished,henneberg_n8_2tube_187,train,1741488,2.4453804093304177,1.834609063599446
node_6,1,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,finished,henneberg_n8_3tube_64,train,1020978,0.923712058515068,0.8461538457774314
node_6,2,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,finished,henneberg_n8_3tube_64,train,1020978,0.6118772331424636,0.8461538457774314
node_6,3,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,finished,henneberg_n8_3tube_64,train,1020978,1.0028722456747627,0.8461538457774314
node_6,1,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,finished,octahedron,heldout,541149,0.5236026106099964,0.36247530894402374
node_6,2,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,finished,octahedron,heldout,541149,0.4837171783258582,0.36247530894402374
node_6,3,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,finished,octahedron,heldout,541149,0.0801061378962167,0.36247530894402374
