fold,topology,role,distance_m,distance_std_m,n_seeds,hand_feature_knn_distance,gnn_embedding_knn_distance,family,n_nodes,n_edges,redundancy,algebraic_connectivity,diameter,n_articulation_points,n_bridges,spectral_radius,static_rigidity,degree_mean,degree_max,degree_min,degree_std,n_tubes,n_connectors,tube_fraction,n_active_nodes,n_passive_nodes,active_node_fraction,active_centroid_offset,active_dispersion,passive_dispersion,active_passive_separation
node_9,henneberg_n5_1tube_1,train,6.260689311837556,4.004219220649767,3,4.981916566132735,15.657238960266113,henneberg,5,9,0,2.999999999999999,2.0,0,0,3.6457513110645903,0.6086697090894637,3.6,4.0,3.0,0.4898979485566356,9,5,0.6428571428571429,8,2,0.8,1.740595377349885e-12,0.321583678908928,0.4058802823673262,8.703140004180084e-12
node_9,henneberg_n6_1tube_2,train,2.2867469398170996,0.5002272348253174,3,6.24364684349888,14.036139488220215,henneberg,6,12,0,3.9999999999999982,2.0,0,0,4.0,0.9999999995696868,4.0,4.0,4.0,0.0,12,8,0.6,11,2,0.8461538461538461,0.0685171955835478,0.4065578140234969,0.0,0.445361771293061
node_9,henneberg_n6_2tube_1,train,10.844175655502047,15.89744160902811,3,4.4780288599664315,14.4110689163208,henneberg,6,12,0,2.5857864376269037,2.0,0,0,4.119026675525918,0.3249056926347491,4.0,5.0,3.0,0.816496580927726,12,10,0.5454545454545454,10,4,0.7142857142857143,0.0401705908574453,0.3067113922060481,0.3253930545013146,0.1405970680010586
node_9,henneberg_n8_1tube_57,train,2.2833532125819964,0.12257588497310222,3,4.252093587717095,12.633426666259766,henneberg,8,18,0,2.999999999999999,2.0,0,0,4.605551275463991,0.356550219838531,4.5,6.0,4.0,0.8660254037844386,18,15,0.5454545454545454,17,2,0.8947368421052632,0.0212309533690332,0.3304981299362936,0.0,0.2016940570058166
node_9,henneberg_n8_2tube_187,train,2.5395092222549858,0.8447700434492222,3,3.3602817480071123,12.613736152648926,henneberg,8,18,0,2.7639320225002093,2.0,0,0,4.5413812651491074,0.5244914870885051,4.5,5.0,4.0,0.5,18,16,0.5294117647058824,16,4,0.8,2.811553521631756e-10,0.3519576169689171,0.3028421371635365,1.4057768315564086e-09
node_9,henneberg_n8_3tube_64,train,2.039209940074208,0.6850672289580554,3,3.8885731496365668,13.637435913085938,henneberg,8,18,0,2.267949192431125,2.0,0,0,4.67282370100095,0.4914409060128525,4.5,6.0,3.0,1.0,18,18,0.5,15,6,0.7142857142857143,0.0111948276606879,0.3251376778087803,0.3621419468461989,0.039181896812408
node_9,octahedron,train,15.094501077666841,0.8861820891273268,3,5.410303368295009,17.732492446899414,octahedron,6,12,0,3.999999999999998,2.0,0,0,3.9999999999999982,0.999940558664586,4.0,4.0,4.0,0.0,12,6,0.6666666666666666,8,4,0.6666666666666666,4.811248763111005e-06,0.4082514323430815,0.4082544260404797,1.4433746289333014e-05
node_9,tetrahedron,train,3.816891159831011,5.865116535350813,3,6.593790367402387,17.380773544311523,tetrahedron,4,6,0,3.999999999999997,1.0,0,0,3.0,0.9999926663977688,3.0,3.0,3.0,0.0,6,4,0.6,4,4,0.5,0.0,0.3939190329498989,0.3939190329498989,3.570884571009438e-17
node_9,usevitch_210272254_p1,train,3.044114487995241,0.8258432097045664,3,3.844331396469748,16.257394790649414,usevitch,8,18,0,2.999999999999999,2.0,0,0,4.605551275463991,0.2893082357127181,4.5,6.0,4.0,0.8660254037844386,18,12,0.6,12,6,0.6666666666666666,0.0035277351122862,0.3682349411858803,0.1630361846393583,0.0105832053368587
node_9,usevitch_60243677150_p1,heldout,0.27395588593730014,0.261042724637235,3,3.423038253641598,16.251386642456055,usevitch,9,21,0,1.999999999999999,2.0,0,0,4.8284271247461925,0.3911519453905961,4.666666666666667,6.0,4.0,0.9428090415820634,21,15,0.5833333333333334,14,7,0.6666666666666666,0.0270834247231329,0.3186688147790406,0.2789770013184567,0.0812502741693988
